datetime_us,datetime_kr,open,high,low,last,evol,us_time,kr_time,macd,signal,histogram
2025-09-03 10:40:00-04:00,2025-09-03 23:40:00+09:00,16.11,16.11,16.0948,16.0948,3399,2025-09-03 10:40:00,2025-09-03 23:40:00,,,
2025-09-03 10:45:00-04:00,2025-09-03 23:45:00+09:00,16.0948,16.0999,16.09,16.0999,484,2025-09-03 10:45:00,2025-09-03 23:45:00,,,
2025-09-03 10:50:00-04:00,2025-09-03 23:50:00+09:00,16.0999,16.0999,16.094,16.094,480,2025-09-03 10:50:00,2025-09-03 23:50:00,9.700807170176518e-05,,
2025-09-03 10:55:00-04:00,2025-09-03 23:55:00+09:00,16.094,16.0999,16.094,16.0999,2085,2025-09-03 10:55:00,2025-09-03 23:55:00,0.00022995697626981837,,
2025-09-03 11:00:00-04:00,2025-09-04 00:00:00+09:00,16.0901,16.11,16.0901,16.1008,4520,2025-09-03 11:00:00,2025-09-04 00:00:00,0.0004032935029094631,,
2025-09-03 11:05:00-04:00,2025-09-04 00:05:00+09:00,16.1008,16.1008,16.1008,16.1008,19,2025-09-03 11:05:00,2025-09-04 00:05:00,0.0005345025365670608,,
2025-09-03 11:10:00-04:00,2025-09-04 00:10:00+09:00,16.11,16.11,16.105,16.105,1113,2025-09-03 11:10:00,2025-09-04 00:10:00,0.0009662531750578296,,
2025-09-03 11:15:00-04:00,2025-09-04 00:15:00+09:00,16.105,16.105,16.095,16.095,1394,2025-09-03 11:15:00,2025-09-04 00:15:00,0.0004957871149002813,,
2025-09-03 11:20:00-04:00,2025-09-04 00:20:00+09:00,16.095,16.1,16.09,16.1,2222,2025-09-03 11:20:00,2025-09-04 00:20:00,0.0005203987530677523,,
2025-09-03 11:25:00-04:00,2025-09-04 00:25:00+09:00,16.092,16.0999,16.092,16.095,1011,2025-09-03 11:25:00,2025-09-04 00:25:00,0.00013489050658321844,,
2025-09-03 11:30:00-04:00,2025-09-04 00:30:00+09:00,16.095,16.095,16.085,16.085,800,2025-09-03 11:30:00,2025-09-04 00:30:00,-0.0009664038803371966,0.00010693050706767681,-0.0010733343874048734
2025-09-03 11:35:00-04:00,2025-09-04 00:35:00+09:00,16.085,16.11,16.085,16.1032,861,2025-09-03 11:35:00,2025-09-04 00:35:00,-0.00036637636148384445,1.2269133357372563e-05,-0.000378645494841217
2025-09-03 11:40:00-04:00,2025-09-04 00:40:00+09:00,16.1032,16.11,16.1,16.11,567,2025-09-03 11:40:00,2025-09-04 00:40:00,0.0006503560405981546,0.00013988651480552897,0.0005104695257926255
2025-09-03 11:50:00-04:00,2025-09-04 00:50:00+09:00,16.113,16.113,16.102,16.102,1679,2025-09-03 11:50:00,2025-09-04 00:50:00,0.0008013531528803242,0.000272179842420488,0.0005291733104598362
2025-09-03 11:55:00-04:00,2025-09-04 00:55:00+09:00,16.102,16.102,16.102,16.102,5,2025-09-03 11:55:00,2025-09-04 00:55:00,0.0009105235040642867,0.0003998485747492478,0.0005106749293150389
2025-09-03 12:00:00-04:00,2025-09-04 01:00:00+09:00,16.11,16.12,16.1,16.1,3254,2025-09-03 12:00:00,2025-09-04 01:00:00,0.0008261353347194245,0.0004851059267432832,0.0003410294079761413
2025-09-03 12:05:00-04:00,2025-09-04 01:05:00+09:00,16.1,16.1199,16.1,16.106,1101,2025-09-03 12:05:00,2025-09-04 01:05:00,0.0012292370785687012,0.0006339321571083669,0.0005953049214603343
2025-09-03 12:10:00-04:00,2025-09-04 01:10:00+09:00,16.1299,16.1299,16.115,16.115,1130,2025-09-03 12:10:00,2025-09-04 01:10:00,0.0022489978513426934,0.0009569452959552322,0.0012920525553874612
2025-09-03 12:15:00-04:00,2025-09-04 01:15:00+09:00,16.115,16.13,16.11,16.11,3180,2025-09-03 12:15:00,2025-09-04 01:15:00,0.0026234657177468534,0.0012902493803135565,0.001333216337433297
2025-09-03 12:20:00-04:00,2025-09-04 01:20:00+09:00,16.11,16.115,16.1,16.115,2580,2025-09-03 12:20:00,2025-09-04 01:20:00,0.003285815576404616,0.0016893626195317686,0.0015964529568728474
2025-09-03 12:25:00-04:00,2025-09-04 01:25:00+09:00,16.115,16.115,16.115,16.115,7,2025-09-03 12:25:00,2025-09-04 01:25:00,0.0037673054590996458,0.0021049511874453443,0.0016623542716543015
2025-09-03 12:30:00-04:00,2025-09-04 01:30:00+09:00,16.115,16.115,16.1003,16.1003,2053,2025-09-03 12:30:00,2025-09-04 01:30:00,0.0029289592935874964,0.002269752808673775,0.0006592064849137214
2025-09-03 12:35:00-04:00,2025-09-04 01:35:00+09:00,16.103,16.13,16.103,16.115,662,2025-09-03 12:35:00,2025-09-04 01:35:00,0.0034114064938997046,0.0024980835457189612,0.0009133229481807434
2025-09-03 12:40:00-04:00,2025-09-04 01:40:00+09:00,16.115,16.1165,16.115,16.1165,2090,2025-09-03 12:40:00,2025-09-04 01:40:00,0.003870173884529038,0.0027725016134809767,0.0010976722710480612
