datetime,open,high,low,last,evol
2025-09-04 05:04:00,53.58,53.58,53.58,53.58,30
2025-09-04 04:50:00,53.57,53.57,53.57,53.57,94
2025-09-04 04:42:00,53.57,53.57,53.57,53.57,91
2025-09-04 04:29:00,53.58,53.58,53.58,53.58,80
2025-09-04 04:28:00,53.57,53.57,53.57,53.57,100
2025-09-03 19:51:00,53.51,53.51,53.51,53.51,1
2025-09-03 19:37:00,53.52,53.52,53.52,53.52,1
2025-09-03 19:24:00,53.51,53.51,53.51,53.51,5
2025-09-03 19:23:00,53.5384,53.5384,53.5384,53.5384,1
2025-09-03 19:13:00,53.5386,53.5386,53.5386,53.5386,40
2025-09-03 18:47:00,53.56,53.56,53.56,53.56,2
2025-09-03 18:45:00,53.5208,53.5208,53.5208,53.5208,10
2025-09-03 18:25:00,53.52,53.52,53.52,53.52,1
2025-09-03 18:11:00,53.55,53.55,53.51,53.51,4
2025-09-03 18:04:00,53.5501,53.5682,53.5501,53.5682,527
2025-09-03 18:03:00,53.56,53.56,53.5501,53.5501,852
2025-09-03 17:54:00,53.5693,53.5693,53.5693,53.5693,1
2025-09-03 17:35:00,53.55,53.55,53.55,53.55,50
2025-09-03 17:31:00,53.56,53.56,53.56,53.56,1
2025-09-03 17:30:00,53.5501,53.5501,53.5501,53.5501,50
2025-09-03 17:20:00,53.57,53.57,53.57,53.57,1
2025-09-03 17:07:00,53.55,53.55,53.55,53.55,200
2025-09-03 17:05:00,53.55,53.56,53.55,53.56,112
2025-09-03 17:03:00,53.5,53.55,53.5,53.55,3233
